Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Гимнастерка детская";1750.00;gimnasterka-detskaya;1;;;;Вестифика;140-146;;;0.0;0;0;;108001;0;;2;"Гимнастерка детская купить с доставкой";"Купить Гимнастерку детскую, Вестифика, Для девочек";"Гимнастерка из бязи, пилотка с металлической звездой, пояс.";;"<ul><li><span style=""font-size: medium;"">Гимнастерка из бязи,&nbsp;пилотка с металлической звездой,&nbsp;пояс.</span></li></ul>";108001-1.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Гимнастерка детская";1750.00;gimnasterka-detskaya;1;;;;Вестифика;152-158;;;0.0;0;0;;108001;0;;2;"Гимнастерка детская купить с доставкой";"Купить Гимнастерку детскую, Вестифика, Для девочек";"Гимнастерка из бязи, пилотка с металлической звездой, пояс.";;"<ul><li><span style=""font-size: medium;"">Гимнастерка из бязи,&nbsp;пилотка с металлической звездой,&nbsp;пояс.</span></li></ul>";108001-1.jpg;;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";"Морячка с бантом";2640.00;moryachka-s-bantom;1;;;;Балаган;122-128;;;0.0;0;0;;ДС128;;;2;"Костюм морячки детский | карнавальные костюмы";"Купить костюм Морячки с бантом, Для девочек, Для девочек";"Состав: платье, бескозырка.Ткань: атлас, подкладка, трикотаж.";;"<p><span style=""font-size: medium;"">Состав: платье, бескозырка.</span></p><ul><li><span style=""font-size: medium;"">Ткань: атлас, подкладка, трикотаж.</span></li></ul>";"ds128-2.jpg, ds128.jpg, ds128-1.jpg, ds128-3.jpg, ds128-4.jpg";;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";"Морячка с бантом";2640.00;moryachka-s-bantom;1;;;;Балаган;134-140;;;0.0;0;0;;ДС128;;;2;"Костюм морячки детский | карнавальные костюмы";"Купить костюм Морячки с бантом, Для девочек, Для девочек";"Состав: платье, бескозырка.Ткань: атлас, подкладка, трикотаж.";;"<p><span style=""font-size: medium;"">Состав: платье, бескозырка.</span></p><ul><li><span style=""font-size: medium;"">Ткань: атлас, подкладка, трикотаж.</span></li></ul>";"ds128-2.jpg, ds128.jpg, ds128-1.jpg, ds128-3.jpg, ds128-4.jpg";;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";"Морячка с бантом";2640.00;moryachka-s-bantom;1;;;;Балаган;146-152;;;0.0;0;0;;ДС128;;;2;"Костюм морячки детский | карнавальные костюмы";"Купить костюм Морячки с бантом, Для девочек, Для девочек";"Состав: платье, бескозырка.Ткань: атлас, подкладка, трикотаж.";;"<p><span style=""font-size: medium;"">Состав: платье, бескозырка.</span></p><ul><li><span style=""font-size: medium;"">Ткань: атлас, подкладка, трикотаж.</span></li></ul>";"ds128-2.jpg, ds128.jpg, ds128-1.jpg, ds128-3.jpg, ds128-4.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм солдата";1990.00;kostyum-soldata;1;;;;Вестифика;104-110;;;0.0;0;0;;108002;;;2;"Карнавальный Костюм солдата";"Купить Костюм солдата, Вестифика, Для мальчиков";"Гимнастерка, пилотка, пояс, брюки";;"<ul><li><span style=""font-size: 13px;"">Гимнастерка, пилотка, пояс, брюки</span></li></ul>";"108-002-1.jpg, 108-002-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм солдата";1990.00;kostyum-soldata;1;;;;Вестифика;116-122;;;0.0;0;0;;108002;;;2;"Карнавальный Костюм солдата";"Купить Костюм солдата, Вестифика, Для мальчиков";"Гимнастерка, пилотка, пояс, брюки";;"<ul><li><span style=""font-size: 13px;"">Гимнастерка, пилотка, пояс, брюки</span></li></ul>";"108-002-1.jpg, 108-002-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм солдата";1990.00;kostyum-soldata;1;;;;Вестифика;128-134;;;0.0;0;0;;108002;;;2;"Карнавальный Костюм солдата";"Купить Костюм солдата, Вестифика, Для мальчиков";"Гимнастерка, пилотка, пояс, брюки";;"<ul><li><span style=""font-size: 13px;"">Гимнастерка, пилотка, пояс, брюки</span></li></ul>";"108-002-1.jpg, 108-002-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм солдата";1990.00;kostyum-soldata;1;;;;Вестифика;140-146;;;0.0;0;0;;108002;;;2;"Карнавальный Костюм солдата";"Купить Костюм солдата, Вестифика, Для мальчиков";"Гимнастерка, пилотка, пояс, брюки";;"<ul><li><span style=""font-size: 13px;"">Гимнастерка, пилотка, пояс, брюки</span></li></ul>";"108-002-1.jpg, 108-002-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм солдата";1990.00;kostyum-soldata;1;;;;Вестифика;152-158;;;0.0;0;0;;108002;;;2;"Карнавальный Костюм солдата";"Купить Костюм солдата, Вестифика, Для мальчиков";"Гимнастерка, пилотка, пояс, брюки";;"<ul><li><span style=""font-size: 13px;"">Гимнастерка, пилотка, пояс, брюки</span></li></ul>";"108-002-1.jpg, 108-002-2.jpg";;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";Морячка;1730.00;moryachka;1;;;;Балаган;110-116;;;0.0;0;0;;ДС56;;;2;"Костюм Морячки купить, экспресс доставка";"Купить костюм Морячки, Для девочек, Для девочек";"Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.";;"<ul><li><span style=""font-size: medium;"">Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.</span></li></ul>";"moryachka_bal3.jpg, moryachka_bal4.jpg, moryachka_bal2.jpg";;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";Морячка;1730.00;moryachka;1;;;;Балаган;122-128;;;0.0;0;0;;ДС56;;;2;"Костюм Морячки купить, экспресс доставка";"Купить костюм Морячки, Для девочек, Для девочек";"Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.";;"<ul><li><span style=""font-size: medium;"">Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.</span></li></ul>";"moryachka_bal3.jpg, moryachka_bal4.jpg, moryachka_bal2.jpg";;
